1;;Simone;Gerbaudo;NULL;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;12/01/2023 14:19;12/01/2023 15:07;12/01/2023 15:07
2;;EASY;JET;NULL;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;14/01/2023 01:31;14/01/2023 01:31;NULL
3;;Baldassarre;Baldassarre;Guida turistica Bologna Baldassarre;NULL;;NULL;info@archemilia.it;3455806084;;;;NULL;Bologna;NULL;NULL;;;;20/01/2023 17:13;20/01/2023 17:13;NULL
4;;NULL;NULL;test;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;20/01/2023 20:33;20/01/2023 20:33;20/01/2023 20:33
5;;go Asia srl;NULL;Go Asia srl;2339160422;;via Buonarroti angolo via canale;info@goworld.it;712089301;;;;italia;Ancona;60122;AN;;;;04/02/2023 15:35;04/02/2023 15:35;NULL
6;;OSTELLO;MILANO;MILANO OSTELLO;NULL;;VIALE MONZA 38;INFO@MILANOOSTELLO.IT;02 36639905;;;;ITALIA;MILANO;20100;MILANO;;;;04/02/2023 16:22;04/02/2023 16:22;NULL
7;;frecciarossa;NULL;trenitalia;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;04/02/2023 17:05;04/02/2023 17:05;NULL
8;;ciao romania;hotel royal craiova;TRAVEL ALN TOURS SRL tour operator;NULL;;Sector 1, Str Amman 4;info@ciaoromania.com;Tel RO: 0040 212313248;;;;romania;bucharest;NULL;NULL;;;;04/02/2023 20:34;04/02/2023 20:34;NULL
9;;wizz air;NULL;wizz air;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;04/02/2023 21:57;04/02/2023 21:57;NULL
10;;AUTONOLEGGIO BUS;CARMINATI;CARMINATI SRL;2603380169;;VIA G. SORA 2;info@carminatibus.it;02.90.96.26.05;;;;ITALIA;CAPRIATE (BG);24042;BERGAMO;;;;05/02/2023 16:15;05/02/2023 16:15;NULL
11;;CASA PER FERIE;SANN FRANCESCO;VARIGOTTISANFRANCESCO SRL;NULL;;VIA STRADA DEGLI ARENZI, 26;info@varigottisanfrancesco.it;019-698025;;;;NULL;VARIGOTTI;NULL;NULL;;;;05/02/2023 16:25;05/02/2023 16:25;NULL
12;;NULL;NULL;THE ONE VIAGGI;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;10/02/2023 20:52;10/02/2023 20:52;NULL
13;;AUTOSERVIZI BUS;BONOMI;BONOMI SRL;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;10/02/2023 20:54;10/02/2023 20:54;NULL
14;;AUTOSERVIZI BONOMI;NULL;AUTONOLEGGIO BONOMI SRL;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;10/02/2023 20:55;10/02/2023 20:55;NULL
15;;domizia incoming;Nadja Coscia;DOMIZIA INCOMING T.O.;NULL;;NULL;NADJA@DOMIZIAINCOMING.IT;3393537481;;;;ITALIA;BAIA DOMIZIA;NULL;CE;;;;14/02/2023 14:48;16/02/2023 12:58;NULL
16;;NULL;NULL;napoléon tour operator;1736010495;;via  g. Cacciò, 11;gruppi@napoleonviaggi.it;565917888;;;;italia;Portoferraio;57037;Li;;;;14/02/2023 18:57;14/02/2023 18:57;NULL
17;;NULL;NULL;reisenplatz;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;15/02/2023 12:41;15/02/2023 12:41;NULL
18;;the one srl;NULL;the one srl;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;16/02/2023 12:59;16/02/2023 12:59;NULL
19;;Promotore culturale e turistico;NULL;Crespi d'Adda;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;17/02/2023 10:01;17/02/2023 10:01;NULL
20;;malatesta t.o.;NULL;Malatesta viaggi srl;2008640407;;via Macanno 38;italia@malatesta.com;0541 300423;;;;NULL;rimini;47923;NULL;;;;17/02/2023 10:56;17/02/2023 10:56;NULL
