1;Easy Jet;;2023-01-14 22:14:42;2023-01-14 22:14:42;NULL
2;Trenitalia;;2023-02-04 17:04:06;2023-02-04 17:04:06;NULL
3;wizz air;;2023-02-04 22:14:52;2023-02-04 22:14:52;NULL
4;Noleggio bus CARMINATI;;2023-02-05 16:11:27;2025-02-04 18:19:26;NULL
5;Lufthansa;;2023-02-12 16:33:53;2023-02-12 16:33:53;NULL
6;Autonoleggi Bonomi;;2023-02-14 23:42:15;2023-02-14 23:42:15;NULL
7;Autoservizi Balestrino Viaggi;;2023-02-19 11:29:23;2023-02-19 11:29:23;NULL
8;Italotreno;;2023-02-24 09:09:15;2023-02-24 09:09:15;NULL
9;Ryanair;;2023-02-24 10:04:49;2023-02-24 10:04:49;NULL
10;Martini Bus;;2023-03-01 22:24:33;2023-03-01 22:24:33;NULL
11;BoBus by Landuzzi;;2023-03-08 12:29:31;2023-03-08 12:29:31;NULL
12;Rossi Mora Viaggi;;2023-03-17 08:31:04;2023-03-17 08:31:04;NULL
13;volo ITC;;2023-03-30 14:10:55;2023-03-30 14:10:55;NULL
14;noleggio bus Til srl di Corrado Berselli;;2023-04-06 13:00:54;2023-04-06 13:00:54;NULL
15;Luberti Bus;;2023-04-16 10:36:27;2023-04-16 10:36:27;NULL
16;La Valle Trasporti;;2023-06-14 11:30:57;2023-06-14 11:30:57;NULL
17;VOLOTEA SPA;;2023-08-25 14:33:28;2023-08-25 14:33:28;NULL
18;Autoturismo Giachino;;2023-09-16 13:36:45;2023-09-16 13:36:45;NULL
19;Autonoleggi Cornacchini;;2023-09-20 13:31:17;2023-09-20 13:31:17;NULL
20;Vueling;;2023-09-21 11:26:53;2023-09-21 11:26:53;NULL
21;ITA Airways;;2023-10-01 13:08:32;2023-10-01 13:08:32;NULL
22;Iberia;;2023-10-16 20:23:51;2023-10-16 20:23:51;NULL
23;Bruxelles Airlines;;2023-10-19 12:16:20;2023-10-19 12:16:20;NULL
24;Air Malta;;2023-10-29 13:14:34;2023-10-29 13:14:34;NULL
25;Scandinavian airlines SAS;;2023-10-30 06:47:54;2023-10-30 06:47:54;NULL
26;air malta;;2023-10-30 06:48:25;2023-10-30 06:48:25;NULL
27;Chiesa Viaggi;;2023-11-08 20:48:32;2023-11-08 20:48:32;NULL
28;Rigato Autoservizi;;2023-11-21 08:47:04;2023-11-21 08:47:04;NULL
29;CHIAPPETTA TURISMO S.r.l.;;2023-12-02 10:57:08;2023-12-02 10:57:08;NULL
30;autoservizi ricci bus siena;;2024-01-08 14:46:53;2024-01-08 14:46:53;NULL
31;Aeroitalia;;2024-02-01 17:14:36;2024-02-01 17:14:36;NULL
32;BT SERVICE autonoleggi;;2024-02-08 20:32:47;2024-02-08 20:32:47;NULL
33;Air France;;2024-03-04 12:28:11;2024-03-04 12:28:11;NULL
34;KLM Royal Dutch Airlines;;2024-04-17 18:10:52;2024-04-17 18:10:52;NULL
35;Aer Lingus;;2024-06-14 08:20:13;2024-06-14 08:20:13;NULL
36;STAV Autolinee;;2024-07-25 10:48:02;2024-07-25 10:48:02;NULL
37;AirBaltic;;2024-10-10 05:40:35;2024-10-10 05:40:35;NULL
38;TAP AIR PORTUGAL;;2024-10-24 08:43:24;2024-10-24 08:43:24;NULL
39;Finnair;;2024-11-21 13:32:51;2024-11-21 13:32:51;NULL
40;DG Bus;;2025-01-31 17:56:14;2025-01-31 17:56:14;NULL
41;autoservizi Borghi;;2025-02-04 15:19:26;2025-02-04 15:19:26;NULL
42;ATVO;;2025-03-26 10:53:35;2025-03-26 10:53:35;NULL
43;Domanegg GmbH;;2025-04-06 20:40:41;2025-04-06 20:40:41;NULL
44;AEGEAN;;2025-05-08 23:21:24;2025-05-08 23:21:24;NULL
45;Zani Viaggi;;2025-06-04 13:48:59;2025-06-04 13:48:59;NULL
46;Autoservizi Granata;;2025-06-20 10:19:22;2025-06-20 10:19:22;NULL
47;Flixbus;;2025-08-04 09:00:08;2025-08-04 09:00:08;NULL
